Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,LAX,YYC,Air Canada (AC),Air Canada,1206,02:54,,,,,319,,,"Direct",3484,178,330
- -,LAX,YYZ,Air Canada (AC),Air Canada,2169,04:50,,,,,320 321,,,"Direct",3484,193,330
- -,LCA,FRA,Air Canada (AC),Air Canada,1636,03:46,,,,,319 321,,,"Codeshare",1197,340,330
- -,LGA,YOW,Air Canada (AC),Air Canada,326,01:09,,,,,CRJ,,,"Codeshare",3697,100,330
- -,LGA,YUL,Air Canada (AC),Air Canada,324,01:08,,,,,E75,,,"Direct",3697,146,330
- -,LGA,YYZ,Air Canada (AC),Air Canada,355,01:12,,,,,E90 E75,,,"Direct",3697,193,330
- -,LHR,YEG,Air Canada (AC),Air Canada,4228,08:57,,,,,763,,,"Direct",507,49,330
- -,LHR,YHZ,Air Canada (AC),Air Canada,2847,06:11,,,,,763,,,"Direct",507,73,330
- -,LHR,YOW,Air Canada (AC),Air Canada,3320,07:08,,,,,763,,,"Direct",507,100,330
- -,LHR,YUL,Air Canada (AC),Air Canada,3238,06:58,,,,,77W,,,"Direct",507,146,330
- -,LHR,YVR,Air Canada (AC),Air Canada,4706,09:54,,,,,77W,,,"Direct",507,156,330
- -,LHR,YYC,Air Canada (AC),Air Canada,4356,09:12,,,,,333,,,"Direct",507,178,330
- -,LHR,YYT,Air Canada (AC),Air Canada,2307,05:06,,,,,319,,,"Direct",507,189,330
- -,LHR,YYZ,Air Canada (AC),Air Canada,3544,07:35,,,,,77L 763 77W 333,,,"Direct",507,193,330
- -,LIM,YYZ,Air Canada (AC),Air Canada,3849,08:11,,,,,763,,,"Direct",2789,193,330
- -,LIR,YYZ,Air Canada (AC),Air Canada,2311,05:07,,,,,319,,,"Direct",1881,193,330
- -,MBJ,YHZ,Air Canada (AC),Air Canada,2001,04:30,,,,,319,,,"Direct",1780,73,330
- -,MBJ,YUL,Air Canada (AC),Air Canada,1877,04:15,,,,,319,,,"Direct",1780,146,330
- -,MBJ,YYZ,Air Canada (AC),Air Canada,1741,03:58,,,,,319,,,"Direct",1780,193,330
- -,MCI,YYZ,Air Canada (AC),Air Canada,835,02:10,,,,,CRJ,,,"Codeshare",3458,193,330
- -,MCO,YUL,Air Canada (AC),Air Canada,1247,02:59,,,,,319,,,"Direct",3878,146,330
- -,MCO,YYZ,Air Canada (AC),Air Canada,1057,02:36,,,,,319,,,"Direct",3878,193,330
- -,MDT,YYZ,Air Canada (AC),Air Canada,282,01:03,,,,,BEH,,,"Codeshare",3542,193,330
- -,MEX,YVR,Air Canada (AC),Air Canada,2449,05:23,,,,,319,,,"Direct",1824,156,330
- -,MEX,YYZ,Air Canada (AC),Air Canada,2016,04:31,,,,,319,,,"Direct",1824,193,330
- -,MIA,GUA,Air Canada (AC),Air Canada,1018,02:32,,,,,E90,,,"Codeshare",3576,1767,330
- -,MIA,YYZ,Air Canada (AC),Air Canada,1235,02:58,,,,,E90,,,"Direct",3576,193,330
- -,MKE,YYZ,Air Canada (AC),Air Canada,418,01:20,,,,,CRJ,,,"Codeshare",3717,193,330
- -,MSP,YYZ,Air Canada (AC),Air Canada,676,01:51,,,,,CRA CRJ,,,"Codeshare",3858,193,330
- -,MSY,DEN,Air Canada (AC),Air Canada,1060,02:37,,,,,320 738 ERJ,,,"Codeshare",3861,3751,330
- -,MSY,EWR,Air Canada (AC),Air Canada,1165,02:49,,,,,738 ERJ 320 319,,,"Codeshare",3861,3494,330
- -,MSY,IAD,Air Canada (AC),Air Canada,953,02:24,,,,,320 E70 319 CR7,,,"Codeshare",3861,3714,330
- -,MSY,IAH,Air Canada (AC),Air Canada,304,01:06,,,,,319 738 73G 320 ERJ,,,"Codeshare",3861,3550,330
- -,MSY,ORD,Air Canada (AC),Air Canada,837,02:10,,,,,320 CR7 319 ERJ,,,"Codeshare",3861,3830,330
- -,MSY,YYZ,Air Canada (AC),Air Canada,1110,02:43,,,,,CRA,,,"Codeshare",3861,193,330
- -,MUC,SOF,Air Canada (AC),Air Canada,683,01:51,,,,,E95,,,"Codeshare",346,1194,330
- -,MUC,YUL,Air Canada (AC),Air Canada,3819,08:08,,,,,333,,,"Codeshare",346,146,330
- -,MUC,YVR,Air Canada (AC),Air Canada,5179,10:51,,,,,333,,,"Codeshare",346,156,330
- -,MUC,YYZ,Air Canada (AC),Air Canada,4124,08:44,,,,,77W,,,"Direct",346,193,330
- -,NAP,FRA,Air Canada (AC),Air Canada,689,01:52,,,,,320 321 319,,,"Codeshare",1561,340,330
- -,NAS,YYZ,Air Canada (AC),Air Canada,1292,03:05,,,,,319,,,"Direct",1953,193,330
- -,NBO,BRU,Air Canada (AC),Air Canada,4077,08:39,,,,,332,,,"Codeshare",4059,302,330
- -,NRT,BKK,Air Canada (AC),Air Canada,2887,06:16,,,,,777,,,"Codeshare",2279,3885,330
- -,NRT,YVR,Air Canada (AC),Air Canada,4659,09:49,,,,,763,,,"Direct",2279,156,330
- -,NRT,YYC,Air Canada (AC),Air Canada,4934,10:22,,,,,763,,,"Direct",2279,178,330
- -,NRT,YYZ,Air Canada (AC),Air Canada,6396,13:17,,,,,77W,,,"Direct",2279,193,330
- -,OGG,YVR,Air Canada (AC),Air Canada,2671,05:50,,,,,763,,,"Direct",3456,156,330
